timestamp,timezone,utc_timestamp,hour,week,month,day_of_week,type,email
1338570595,America/Chicago,1338570595,12,22,06,5,Email,alice@example.com
1338570654,America/Chicago,1338570654,12,22,06,5,SMS,alice@example.com
1338570723,America/Chicago,1338570723,12,22,06,5,Email,alice@example.com
1338581247,America/Chicago,1338581247,15,22,06,5,Email,alice@example.com
1338581740,America/Chicago,1338581740,15,22,06,5,Email,alice@example.com
1338583046,America/Chicago,1338583046,15,22,06,5,Email,alice@example.com
1338583107,America/Chicago,1338583107,15,22,06,5,SMS,alice@example.com
1338587697,America/Chicago,1338587697,16,22,06,5,Email,alice@example.com
1338588636,America/Chicago,1338588636,17,22,06,5,Email,alice@example.com
1338588695,America/Chicago,1338588695,17,22,06,5,SMS,alice@example.com
1338588757,America/Chicago,1338588757,17,22,06,5,Phone,alice@example.com
1338590443,America/Chicago,1338590443,17,22,06,5,Email,alice@example.com
1338606105,America/Chicago,1338606105,22,22,06,5,Email,alice@example.com
1338606163,America/Chicago,1338606163,22,22,06,5,SMS,alice@example.com
1338611606,America/Chicago,1338611606,23,22,06,5,Email,alice@example.com
1338611668,America/Chicago,1338611668,23,22,06,5,SMS,alice@example.com
1338611725,America/Chicago,1338611725,23,22,06,5,Phone,alice@example.com
1338621020,America/Chicago,1338621020,02,22,06,6,Email,alice@example.com
1338738258,America/Chicago,1338738258,10,23,06,0,Email,alice@example.com
1338738320,America/Chicago,1338738320,10,23,06,0,SMS,alice@example.com
1338738378,America/Chicago,1338738378,10,23,06,0,Phone,alice@example.com
1338738575,America/Chicago,1338738575,10,23,06,0,Email,alice@example.com
1338738612,America/Chicago,1338738612,10,23,06,0,Email,alice@example.com
1338738635,America/Chicago,1338738635,10,23,06,0,SMS,alice@example.com
1338740226,America/Chicago,1338740226,11,23,06,0,Email,alice@example.com
1338740467,America/Chicago,1338740467,11,23,06,0,Email,alice@example.com
1338741272,America/Chicago,1338741272,11,23,06,0,Email,alice@example.com
1338741332,America/Chicago,1338741332,11,23,06,0,SMS,alice@example.com
1338741433,America/Chicago,1338741433,11,23,06,0,Email,charlie@example.com
1338864809,America/Chicago,1338864809,21,23,06,1,Email,alice@example.com
1338864868,America/Chicago,1338864868,21,23,06,1,SMS,alice@example.com
1339048602,America/Chicago,1339048602,00,23,06,4,Email,alice@example.com
1339062104,America/Chicago,1339062104,04,23,06,4,Email,alice@example.com
1339062164,America/Chicago,1339062164,04,23,06,4,SMS,alice@example.com
1339062361,America/Chicago,1339062361,04,23,06,4,Email,alice@example.com
1339062421,America/Chicago,1339062421,04,23,06,4,SMS,alice@example.com
1339063991,America/Chicago,1339063991,05,23,06,4,Email,alice@example.com
1339064051,America/Chicago,1339064051,05,23,06,4,SMS,alice@example.com
1339064239,America/Chicago,1339064239,05,23,06,4,Email,alice@example.com
1339065875,America/Chicago,1339065875,05,23,06,4,Email,alice@example.com
1339065936,America/Chicago,1339065936,05,23,06,4,SMS,alice@example.com
1339066068,America/Chicago,1339066068,05,23,06,4,Email,alice@example.com
1339067769,America/Chicago,1339067769,06,23,06,4,Email,alice@example.com
1339067829,America/Chicago,1339067829,06,23,06,4,SMS,alice@example.com
1339067908,America/Chicago,1339067908,06,23,06,4,Email,alice@example.com
1339069654,America/Chicago,1339069654,06,23,06,4,Email,alice@example.com
1339069712,America/Chicago,1339069712,06,23,06,4,SMS,alice@example.com
1339069744,America/Chicago,1339069744,06,23,06,4,Email,alice@example.com
1339120923,America/Chicago,1339120923,21,23,06,4,Email,alice@example.com
1339120984,America/Chicago,1339120984,21,23,06,4,SMS,alice@example.com
1339123088,America/Chicago,1339123088,21,23,06,4,Email,alice@example.com
1339123149,America/Chicago,1339123149,21,23,06,4,SMS,alice@example.com
1339145587,America/Chicago,1339145587,03,23,06,5,Email,alice@example.com
1339183777,America/Chicago,1339183777,14,23,06,5,Email,alice@example.com
1339183837,America/Chicago,1339183837,14,23,06,5,SMS,alice@example.com
1339183897,America/Chicago,1339183897,14,23,06,5,Phone,alice@example.com
1339195556,America/Chicago,1339195556,17,23,06,5,Email,alice@example.com
1339195972,America/Chicago,1339195972,17,23,06,5,Email,alice@example.com
1339196033,America/Chicago,1339196033,17,23,06,5,SMS,alice@example.com
1339197872,America/Chicago,1339197872,18,23,06,5,Email,alice@example.com
1339199708,America/Chicago,1339199708,18,23,06,5,Email,alice@example.com
1339201376,America/Chicago,1339201376,19,23,06,5,Email,alice@example.com
1339203176,America/Chicago,1339203176,19,23,06,5,Email,alice@example.com
1339204985,America/Chicago,1339204985,20,23,06,5,Email,alice@example.com
1339206786,America/Chicago,1339206786,20,23,06,5,Email,alice@example.com
1339291625,America/Chicago,1339291625,20,23,06,6,Email,alice@example.com
1339293830,America/Chicago,1339293830,21,23,06,6,Email,alice@example.com
1339295659,America/Chicago,1339295659,21,23,06,6,Email,alice@example.com
1339295718,America/Chicago,1339295718,21,23,06,6,SMS,alice@example.com
